MoAimportSUM,MoAachieveSUM,IDEA8_exp,IDEA8_negativity,IDEA8_identity,IDEA8_between,IDEA8All,PSS_Family,PSS_Friends,PSS_Special,SWBscale,MindfulnessScale,BelongingScale,EfficacyScale,Exploitiveness,NPItot,Transgressions,Stress,PosDisabilityIdentity,SocMedia_maintain,SocMedia_newconnect,SocMedia_information,RaceDichotomized,EducationDichotomized,president,usdream_1,usdream_2,PhysicalDis,SensoryDis,LearningDis,PsychiatricDis,ChronicHealthDis,OtherDis,OtherDisSpecify,marriage1_1,marriage1_2,marriage1_3,marriage1_4,marriage2,marriage3,marriage4,marriage5,sex,age,sibling,armedservices,yearsservices,income,USresidency,USresidencyyears,EA_Status,Election_date,Political_views,Party_affiliation,President_coded,DisabilityIdentity,RaceCoded,EducationCoded
60,46,3.5,3.5,4,3.5,3.625,6.25,7,7,6,4.266666667,2.1,3.9,1,6,1.25,2.7,42,1.6,1,3.5,0,0,Cruz,5,5,2,2,2,2,2,2,,10,40,20,30,2,15,1,2,1,,4,3,,7,1,21,0,1,7,7,Cruz,2,1,1
74,55,3.5,3.5,3,2.5,3.125,4.75,6,6,4.666666667,3.866666667,1.8,3.4,1,2,2.25,3.4,46,2,3,4,1,1,Clinton,5,5,2,2,2,2,2,,,25,50,25,0,2,19,1,1,2,22,6,3,,4,2,,1,1,6,3,Clinton,2,3,1
70,46,3,3,4,4,3.5,7,5,7,1.5,3.466666667,4.5,2.2,1.666666667,0,1.5,4.2,,4,2.5,5,1,1,Clinton,3,2,2,1,2,1,2,2,,25,45,15,15,2,26,1,1,2,22,4,3,,4,1,22,1,1,1,4,Clinton,2,3,1
64,37,2,3.5,3,2.5,2.75,1.75,3.5,3.75,1.166666667,2.733333333,4.1,2.9,3,1,2.75,4.4,42,3.6,3.75,4.5,1,0,Not voting,2,1,2,2,2,2,2,2,,50,20,20,10,5,15,4,2,1,22,"3,5,7",3,,2,1,22,1,1,1,3,notvote,2,3,1
61,38,4,4,4,4,4,5.25,6.25,6.5,3.166666667,2.333333333,3.1,3.3,3,1,3.75,4.3,42,4.4,4.5,5,0,0,Donald trump,4,2,2,2,2,2,2,2,,10,50,30,10,3,11,1,1,2,22,"2,4",3,,1,1,22,1,1,4,3,Trump,2,1,1
55,47,4,4,4,4,4,2.25,4.75,6,3.833333333,2,3.2,3,1,5,1.75,3.4,,3,2.5,3,,1,Hilary Clinton,4,4,2,2,2,2,2,2,,0,0,50,50,5,12,5,2,2,22,"2,3,6",3,,5,1,22,1,1,,,Clinton,2,7,1
73,38,4,4,4,4,4,2.5,4.25,4,1.833333333,3.733333333,3.9,3,3,7,3.25,4,,4.6,4.75,5,1,1,Neither,3,3,2,2,2,2,2,2,,100,100,100,100,4,9,3,4,2,22,3,3,,1,1,22,1,1,4,3,neither,2,3,1
77,46,4,4,4,4,4,7,7,7,5.666666667,4.8,2.8,3.4,1,4,1.75,2.4,,4.4,2.25,2,1,0,Clinton but either way we lose.,5,5,2,2,2,2,2,2,,30,25,30,15,5,12,1,1,2,24,"2,6",3,,1,1,24,1,1,6,3,Clinton,2,4,1
75,37,4,3.5,3.5,4,3.75,3.75,4.75,7,4,3.6,2.9,2.6,1,2,1,3.1,41,2.8,1.75,1,1,1,,3,3,2,2,2,2,2,2,,40,25,25,10,5,12,5,2,1,22,"2,3,4,5,6,7",3,,1,1,4,1,1,,,,1,4,1
66,52,3,4,3.5,2,3.125,4.25,4,5.5,4,4.333333333,3.6,3.3,1,8,1.333333333,2.7,,3.2,2.5,3,0,1,Clinton,5,4,2,2,2,2,2,2,,0,0,80,20,2,14,3,1,2,44,"2,3,4,5,7",3,,7,1,44,0,1,6,5,Clinton,2,1,1
59,41,4,3,4,4,3.75,5.5,5.25,6.5,5,5.333333333,1.9,3.1,1.333333333,0,1,2.1,,1.6,1,2,0,0,Donald Trump,2,4,2,2,2,2,2,2,,20,20,30,30,4,8,3,1,1,21,"3,5",3,,7,1,21,1,1,,,Trump,2,1,1
64,44,3,3.5,4,3,3.375,6.5,5.25,6.5,3.333333333,3.066666667,1.6,3.7,4.666666667,7,2.666666667,3.2,46,2.8,4,4,1,1,Hillary clinton,5,5,2,2,2,2,2,2,,10,10,10,10,5,11,5,1,1,22,"2,4",3,,3,1,19,1,1,,2,Clinton,2,3,1
62,48,3.5,3,3.5,3,3.25,6.75,6.25,7,6.166666667,4.4,1.9,2.9,3.666666667,5,1.5,2,,3.2,2.25,3,,0,Bernie Sanders,2,3,2,2,2,2,2,2,,40,50,5,5,3,13,1,1,2,30,"2,3,4,5,6,7",3,,5,1,30,0,1,2,3,Sanders,2,7,1
60,45,4,3.5,3.5,4,3.75,6.5,5.5,7,4.166666667,3,4.1,3,2.666666667,6,1.75,3.1,44,4.2,4,5,1,1,Hilary Clinton,4,4,2,2,2,2,2,2,,50,25,15,10,5,11,4,1,2,24,5,3,,4,1,24,1,1,3,2,Clinton,2,3,1
74,45,2.5,4,2.5,2.5,2.875,1,1,7,1,2.466666667,3.5,3.8,1,3,5,3.3,22,1,2,5,0,1,None. Bernie sanders,5,1,1,2,2,2,2,2,,30,40,20,10,4,9,1,1,2,23,"2,3,4,5,6",3,,2,1,23,1,1,6,4,Sanders,1,1,1
75,50,4,3,4,3.5,3.625,5.75,3.5,7,5.666666667,4.933333333,1.8,3.7,3,1,1.75,1.6,,1.4,1.5,2.5,1,1,Donald trump,5,5,2,2,2,2,2,,,30,40,20,10,4,10,1,1,2,24,"2,3,4,5,6",3,,6,1,24,1,1,,,Trump,2,3,1
60,40,3,3,4,3.5,3.375,5.5,6.5,6.5,4.5,3.2,3,3,4.666666667,4,1.25,3.4,,2.8,4.25,5,,1,Hilary Clinton,3,4,,,,,,,,40,40,10,10,4,9,1,1,2,26,2,3,,3,1,26,1,1,2,2,Clinton,2,8,1
70,42,4,4,4,3.5,3.875,3.5,3.25,6,1,3.8,2.4,3.6,1,4,1,3.9,41,3.4,2.5,5,,1,Bernie Sanders,5,3,2,2,2,2,2,2,Mental,50,30,10,10,2,2,1,2,2,24,3,3,,2,1,24,1,1,2,2,Sanders,1,7,1
