"X","participantID","Consent","CCC_students_1","CCC_students_2","CCC_students_3","CCC_students_4","CCC_Profs_1","CCC_Profs_2","CCC_Profs_3","CCC_Profs_4","CCC_Courses_2","CCC_Courses_3","CCC_Courses_4","CCC_Courses_5","CCC_Courses_7","CCC_ExtraCur_1","CCC_ExtraCur_2","CCC_ExtraCur_3","CCC_ExtraCur_5","CCC_ExtraCur_6","CCC_PersExp_1","CCC_PersExp_3","CCC_PersExp_4","CCC_PersExp_5","CCC_PersExp_7","Age","Gender","Gender.txt","International","Country.Origin","Race.Ethnicity","RE.Rep","Christian","Religion","Rel_Identity","CCC_students","CCC_profs","CCC_Courses_2r"
"execr",157,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,5,4,5,5,5,21,"F","Woman",1,"","2,7","",1,"Catholic ",47,4.75,5,1
"execr",158,4,5,4,5,4,5,5,5,4,5,4,5,5,4,4,4,4,5,4,5,5,5,4,4,19,"F","",1,"","1","",2,"Atheist",70,4.5,4.75,1
"Gen",159,4,3,4,3,3,5,5,4,4,4,4,5,4,4,4,4,5,4,5,4,4,5,4,5,18,"F","",1,"","2","",1,"Methodist",47,3.25,4.5,2
"execr",160,4,4,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,21,"F","",1,"","2","",1,"Non-denominational ",10,4.75,4.75,1
"execr",161,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,22,"M","",1,"","7","",1,"Christian",49,4.25,5,1
"execr",162,4,3,4,3,3,3,3,4,5,2,3,2,3,3,3,3,3,3,3,4,5,4,5,4,19,"F","Woman? ",1,"","3","",2,"Athesist",39,3.25,3.75,4
"CCC",163,4,4,4,4,4,5,5,4,5,5,4,5,4,4,5,5,5,4,5,4,5,5,4,5,21,"F","",1,"","6,7","",3,"Agnostic",42,4,4.75,1
"CCC",164,4,3,4,4,4,4,4,4,4,2,4,4,4,2,2,4,2,2,3,4,4,4,4,4,21,"M","",1,"","1,7","",1,"",68,3.75,4,4
"CCC",165,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,20,"M","",1,"","3","",2,"islam",96,3.5,4,2
"CCC",166,4,4,3,4,4,3,5,5,3,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,20,"M","",1,"","4","",1,"Christian non denominational ",85,3.75,4,1
"execr",167,4,4,4,4,3,5,4,5,5,4,3,4,4,4,4,3,4,4,4,5,5,5,5,4,20,"M","",1,"","7","",1,"Christian",100,3.75,4.75,2
"CCC",168,4,5,4,4,4,4,5,5,5,4,4,5,5,4,4,5,4,5,5,5,5,5,5,5,25,"M","",1,"","7","",1,"Christian (non-denominational)",100,4.25,4.75,2
"execr",169,4,2,3,1,4,4,4,3,4,4,4,4,5,2,4,4,4,1,2,2,4,2,2,2,21,"F","",1,"","7","",2,"Agnostic",47,2.5,3.75,2
"CCC",170,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,22,"M","",2,"Vietnam","2","",2,"Budisht ",93,4,4,2
"CCC",171,4,3,3,3,3,4,4,4,4,4,4,5,4,5,4,4,4,4,3,5,4,5,4,4,20,"M","",1,"","2","",1,"",50,3,4,2
"Gen",172,4,3,3,4,3,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,19,"F","",1,"","4,7","",2,"",NA,3.25,2.25,4
"execr",173,4,4,5,3,4,5,5,5,5,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,22,"Non-Binary","",1,"","2","",2,"Atheist, but Buddhist-leaning",50,4,5,2
"Gen",174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,"F","",1,"","2","",1,"Christian",46,4,4,2
"CCC",175,4,4,4,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,20,"M","",1,"","4","",1,"non denominational",60,4.25,4.5,1
"execr",176,4,4,4,4,4,5,5,5,5,4,5,3,4,4,4,4,3,4,3,4,5,5,5,4,21,"M","",1,"","7","",1,"Covenant",92,4,5,2
"CCC",177,4,3,3,3,3,4,4,4,4,3,3,3,3,3,4,3,4,3,3,3,4,3,4,3,23,"F","",2,"Ecuador","4,7","",2,"Agnostic",28,3,4,3
"execr",178,4,3,5,4,4,4,4,5,5,4,2,3,4,3,3,4,3,3,3,2,4,4,3,2,20,"F","Woman",1,"","7","",1,"Christian",51,4,4.5,2
"execr",179,4,3,5,2,4,5,5,5,5,5,5,4,5,5,3,3,3,3,3,5,4,4,3,4,22,"F","",1,"","2","",2,"Sikh",100,3.5,5,1
"execr",180,4,5,4,4,4,5,5,5,5,4,4,4,5,4,5,4,4,4,5,5,4,5,4,5,20,"F","Woman",1,"","2","",1,"Nondenominational ",24,4.25,5,2
"CCC",181,4,4,4,3,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,21,"M","",1,"","7","",2,"not ",4,3.75,5,2
"execr",182,4,4,4,4,4,4,5,4,4,4,5,5,4,4,3,4,3,5,4,4,5,5,5,4,21,"F","",1,"","7","",2,"Agnostic",75,4,4.25,2
"execr",183,4,4,3,4,3,4,4,5,5,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,19,"F","Woman",1,"","2","",2,"Atheist",0,3.5,4.5,2
"execr",184,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,"M","",1,"","2","",1,"Presbyterian ",100,5,5,1
"execr",185,4,5,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,4,21,"F","",1,"","3,7","",1,"Greek Orthodox",57,4.25,3.75,2
"execr",186,4,3,3,4,3,5,5,4,5,3,5,4,5,3,3,3,3,3,3,5,5,5,3,4,22,"F","Woman",1,"","7","",2,"Agnostic",59,3.25,4.75,3
