,Pnum,Consent,CCC_students_1,CCC_students_2,CCC_students_3,CCC_students_4,CCC_Profs_1,CCC_Profs_2,CCC_Profs_3,CCC_Profs_4,CCC_Courses_2,CCC_Courses_3,CCC_Courses_4,CCC_Courses_5,CCC_Courses_7,CCC_ExtraCur_1,CCC_ExtraCur_2,CCC_ExtraCur_3,CCC_ExtraCur_5,CCC_ExtraCur_6,CCC_PersExp_1,CCC_PersExp_3,CCC_PersExp_4,CCC_PersExp_5,CCC_PersExp_7,Age,Gender,Gender txt,International,Country Origin,Race/Ethnicity,RE Rep,Christian,Religion,Rel_Identity
execr,128,4,4,3,4,3,5,5,5,5,3,4,5,4,4,3,4,4,3,3,4,4,5,4,5,21,F,,1,,"1,7",,1,Non-Denominational,100
execr,129,4,3,5,3,4,4,4,4,5,5,4,4,4,3,4,5,5,4,4,4,5,5,4,4,21,F,Woman,1,,2,,2,Atheist,50
execr,130,4,4,4,5,3,4,5,4,4,4,4,4,5,4,4,3,3,3,4,5,5,4,5,5,20,F,,1,,"2,7",,1,"nondenominational, evangelical",86
execr,131,4,3,3,3,4,4,4,3,3,4,2,4,4,3,3,4,3,5,4,4,4,4,4,4,20,F,,1,,7,,1,I am a Christian apart of the FourSquare denomination,100
execr,132,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,5,21,F,,1,,7,,1,non denominational,65
CCC,133,4,4,5,5,5,4,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,23,8,,1,,"3,4",,3,agnostic,0
Gen,134,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,3,4,4,4,5,19,F,,1,,7,,1,Pentecostal,100
execr,135,4,2,3,2,2,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,4,3,2,20,M,,1,,7,,3,Non practicing christian,34
execr,136,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,21,F,Woman,1,,3,,2,Atheist,
execr,137,4,3,4,4,5,5,4,5,5,4,5,5,5,4,5,4,5,5,5,4,5,5,5,5,21,F,Woman,1,,3,,2,Atheist,
CCC,138,4,4,3,3,3,5,3,4,4,3,4,5,4,4,5,4,4,4,5,4,4,4,5,5,24,8,,1,,2,,2,,56
Gen,139,4,4,5,4,4,5,5,4,5,4,4,5,5,4,4,4,4,4,4,4,5,4,4,5,19,M,,1,,"2,3",,1,Non-Denominational,100
execr,140,4,5,5,4,5,5,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,4,5,5,18,F,woman,1,,7,,1,Christian,80
execr,141,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,21,M,,1,,7,,1,,61
CCC,142,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,5,5,5,5,4,21,8,,1,,"2,8",Micronesian,1,Nondenominational Christian,82
Gen,143,4,4,5,3,4,5,5,4,5,5,4,5,4,5,4,3,4,3,4,4,4,4,5,5,18,Trans,,1,,"4,7",,2,none,0
CCC,144,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,18,8,,1,,4,,2,Catholic,49
execr,145,4,3,4,3,3,5,4,4,5,5,4,5,5,3,3,4,3,3,4,4,4,4,5,3,22,F,,1,,7,,3,Vaguely spiritual,20
Gen,146,4,4,4,4,4,5,5,5,5,4,4,5,5,4,4,4,4,4,5,4,5,5,5,5,19,M,,1,,7,,1,Protestant,78
execr,147,4,3,4,4,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,21,F,,1,,7,,1,Christian ,72
execr,148,4,4,3,4,4,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,18,F,,1,,"4,7",,3,,18
execr,149,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,4,4,23,F,Woman,1,,7,,3,Christian loosely ,44
execr,150,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,4,21,F,,1,,4,,2,catholic,100
execr,151,4,4,4,4,4,4,5,5,4,5,5,2,5,5,5,4,4,4,5,5,5,5,5,5,20,F,women ,1,,4,,2,catholic ,62
CCC,152,4,4,4,5,4,5,5,4,4,4,4,4,5,5,4,5,4,4,5,4,4,5,4,4,20,7,,1,,7,,1,Episcopalian/Anglo-Catholic,91
CCC,153,4,4,4,4,3,5,5,4,5,4,3,4,5,4,3,3,3,3,3,4,4,4,4,4,20,8,,1,,4,,1,Catholic,42
CCC,154,4,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,8,,1,,7,,1,,100
execr,155,4,3,4,4,4,5,5,5,5,4,5,5,5,4,5,4,4,4,5,5,5,5,5,5,20,F,Woman,1,,2,,1,Christian,66
execr,156,4,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,21,F,,1,,7,,1,Christian ,74
execr,157,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,5,4,5,5,5,21,F,Woman,1,,"2,7",,1,Catholic ,47
execr,158,4,5,4,5,4,5,5,5,4,5,4,5,5,4,4,4,4,5,4,5,5,5,4,4,19,F,,1,,1,,2,Atheist,70
Gen,159,4,3,4,3,3,5,5,4,4,4,4,5,4,4,4,4,5,4,5,4,4,5,4,5,18,F,,1,,2,,1,Methodist,47
execr,160,4,4,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,21,F,,1,,2,,1,Non-denominational ,10
execr,161,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,22,M,,1,,7,,1,Christian,49
execr,162,4,3,4,3,3,3,3,4,5,2,3,2,3,3,3,3,3,3,3,4,5,4,5,4,19,F,Woman? ,1,,3,,2,Athesist,39
CCC,163,4,4,4,4,4,5,5,4,5,5,4,5,4,4,5,5,5,4,5,4,5,5,4,5,21,6,,1,,"6,7",,3,Agnostic,42
CCC,164,4,3,4,4,4,4,4,4,4,2,4,4,4,2,2,4,2,2,3,4,4,4,4,4,21,8,,1,,"1,7",,1,,68
CCC,165,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,20,8,,1,,3,,2,islam,96
CCC,166,4,4,3,4,4,3,5,5,3,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,20,8,,1,,4,,1,Christian non denominational ,85
